Data,Z1,Z2
0,-0.433785,1.3501
1,-0.870357,0.334308
2,0.240735,-0.795355
3,-1.67785,-1.54647
4,-0.716967,2.40447
5,1.36493,-0.726568
6,-0.449875,1.23982
7,0.457445,0.705259
8,-0.139453,-1.16698
9,-0.910384,-2.65904
10,0.94818,0.0374738
11,1.38727,2.59561
12,0.00187064,-1.25874
13,0.159536,1.90487
14,-0.226749,1.59763
15,-0.211745,-0.662955
16,0.027132,1.09029
17,-0.551158,1.43759
18,1.19308,-0.29959
19,0.50405,1.19045
20,-0.763872,0.940906
21,-1.68155,-1.25393
22,0.437311,0.825436
23,-0.992436,2.3333
24,-1.08629,-0.464561
25,-0.589712,-0.358487
26,-0.282585,0.812138
27,0.511293,-0.0433399
28,-0.897118,0.794069
29,-2.16108,-0.165458
30,-0.495861,-0.867414
31,-0.903522,-0.487983
32,0.098271,2.71398
33,1.58907,-0.450286
34,-1.35123,0.229001
35,0.560691,0.62033
36,-1.17149,-0.0804339
37,0.40971,-0.73674
38,-1.21956,0.517689
39,-0.606297,-0.828285
40,0.003228,0.585531
41,0.025139,2.39445
42,0.709475,-1.99151
43,0.743818,0.7786
44,-0.123352,-0.58528
45,0.921212,1.33402
46,1.56337,0.928143
47,-1.64627,-0.238244
48,0.628956,0.746366
49,1.08109,1.19056
50,0.0264692,1.55521
51,-0.00158241,0.340296
52,0.306029,-1.41898
53,-0.595861,1.90972
54,-0.729795,-1.65296
55,-0.186992,0.0828264
56,0.80407,-0.70965
57,-1.37883,-2.32327
58,-0.263942,-1.24879
59,-0.393998,-0.0206063
60,-1.33599,0.702475
61,0.0922434,-0.054787
62,0.685904,-0.358559
63,-0.646813,0.661775
64,-0.405241,0.9437
65,0.467358,-0.111088
66,0.67848,0.294245
67,-0.0382097,-0.230623
68,0.290104,0.0553397
69,0.200362,1.36739
70,0.652453,-0.453193
71,-0.309405,-3.15842
72,0.868288,1.69188
73,1.24483,0.0678579
74,-0.462846,-0.969777
75,-0.0250634,-0.426306
76,1.04995,0.443907
77,1.20789,-0.953544
78,-0.629351,-0.167239
79,1.65762,0.929432
80,0.35924,-0.718543
81,-2.69426,-1.33396
82,-0.507605,-1.67416
83,0.0870297,-3.09194
84,2.10686,0.67905
85,0.307393,-0.00389049
86,-1.48767,-1.19891
87,1.55441,0.434995
88,-0.712429,-0.229091
89,-0.164033,1.51828
90,0.563982,-0.486704
91,0.246267,-1.86753
92,0.109464,0.421608
93,0.55484,0.875134
94,-0.327507,0.281046
95,-0.823839,1.38814
96,-1.20811,-0.0666696
97,-0.22617,-1.08239
98,2.01718,0.753355
99,0.610877,1.46539
100,-0.278375,-1.24604
101,0.187866,-1.15519
102,1.85591,-0.461115
103,0.546446,-0.391488
104,-0.51745,1.79296
105,0.968574,-1.07781
106,0.104155,0.487019
107,-0.891091,0.00401544
108,-0.265835,-0.117262
109,-1.34317,1.27372
110,0.669509,0.639171
111,0.729647,1.66081
112,1.45886,1.51657
113,-2.26211,1.63347
114,-0.0293361,0.289174
115,0.590707,0.662678
116,0.543791,0.373251
117,0.814397,0.893417
118,2.01629,-1.42298
119,-0.909992,-0.123862
120,-0.961754,-1.84819
121,-0.206519,0.669099
122,-0.734164,0.982267
123,-1.20168,0.802469
124,1.29857,0.92244
125,-2.34301,0.978706
126,-0.0270495,-0.574759
127,-0.601393,-0.99541
128,-0.710584,0.0835669
129,-1.70979,-0.058874
130,0.54564,-0.865753
131,-1.21361,-0.884512
132,-1.69168,-0.981854
133,-0.358058,-0.689043
134,-0.0524212,0.411838
135,-0.891201,0.504539
136,1.59159,0.552686
137,-0.0285317,-0.501716
138,0.457908,-0.294675
139,0.356905,0.726368
140,0.422956,0.631727
141,1.36594,0.591142
142,-0.217349,-0.89662
143,-0.610106,0.333908
144,-0.856185,-0.186672
145,-0.512325,0.296042
146,0.357375,-1.86422
147,1.26396,1.01643
148,0.71712,0.0816183
149,-0.981006,-1.62444
