Data,U1,U2
0,0.365873,0.299478
1,0.647497,0.441633
2,0.708028,0.796777
3,0.0740232,0.618519
4,0.0429487,0.296121
5,0.302564,0.922147
6,0.419048,0.305399
7,0.70235,0.158422
8,0.501252,0.731071
9,0.0192613,0.697501
10,0.637485,0.00628682
11,0.0131563,0.17188
12,0.452839,0.750237
13,0.160897,0.236702
14,0.272009,0.272439
15,0.784921,0.700797
16,0.551709,0.24604
17,0.305678,0.308267
18,0.469261,0.960845
19,0.433608,0.186254
20,0.479792,0.358531
21,0.110806,0.601978
22,0.646429,0.17246
23,0.0401709,0.314005
24,0.497619,0.564318
25,0.788095,0.586932
26,0.690934,0.303293
27,0.876648,0.986541
28,0.487882,0.384686
29,0.0954823,0.512162
30,0.607051,0.667348
31,0.590232,0.578814
32,0.0250305,0.24424
33,0.255647,0.956053
34,0.390965,0.473281
35,0.704976,0.13303
36,0.501862,0.51091
37,0.700946,0.830775
38,0.415751,0.43611
39,0.590476,0.649434
40,0.84246,0.249123
41,0.0568681,0.248329
42,0.107021,0.804468
43,0.560043,0.128636
44,0.836203,0.716941
45,0.268712,0.153813
46,0.191514,0.0852687
47,0.250702,0.522874
48,0.621062,0.138554
49,0.27442,0.132664
50,0.298291,0.247291
51,0.943742,0.25074
52,0.348687,0.783807
53,0.135195,0.298135
54,0.195452,0.683828
55,0.979304,0.433638
56,0.562668,0.884915
57,0.0260073,0.664754
58,0.442827,0.716849
59,0.925122,0.508316
60,0.320085,0.422956
61,0.994261,0.914701
62,0.741178,0.923338
63,0.651709,0.37318
64,0.59014,0.314554
65,0.891026,0.962859
66,0.760745,0.0651265
67,0.973046,0.723869
68,0.957326,0.0299997
69,0.384829,0.226844
70,0.729396,0.903378
71,0.00650184,0.734458
72,0.16395,0.174535
73,0.459737,0.00866726
74,0.561386,0.679128
75,0.912851,0.740654
76,0.522192,0.0636616
77,0.306013,0.893643
78,0.808944,0.541337
79,0.164347,0.0813318
80,0.724206,0.823786
81,0.0108974,0.573168
82,0.216484,0.703146
83,0.00836386,0.754479
84,0.0862943,0.0496231
85,0.953846,0.997986
86,0.161172,0.607959
87,0.271795,0.0434278
88,0.755769,0.549516
89,0.3116,0.267129
90,0.757692,0.886685
91,0.169628,0.770867
92,0.909493,0.209571
93,0.584585,0.16007
94,0.911081,0.387127
95,0.271764,0.335246
96,0.480952,0.508774
97,0.542613,0.717215
98,0.0984432,0.0568865
99,0.283578,0.18714
100,0.442613,0.715018
101,0.504151,0.775658
102,0.160653,0.961241
103,0.797772,0.901059
104,0.175305,0.294717
105,0.349969,0.866512
106,0.883364,0.216468
107,0.672314,0.499283
108,0.958669,0.566118
109,0.180281,0.379223
110,0.651557,0.121311
111,0.192949,0.184118
112,0.109249,0.128086
113,0.0203907,0.400464
114,0.958639,0.266091
115,0.674328,0.134129
116,0.804518,0.0957366
117,0.481563,0.132359
118,0.0475885,0.902188
119,0.655922,0.521531
120,0.114133,0.673635
121,0.78257,0.297647
122,0.471459,0.352153
123,0.352045,0.406293
124,0.281227,0.0983001
125,0.0398046,0.437025
126,0.847436,0.742515
127,0.508516,0.663503
128,0.774176,0.481368
129,0.231441,0.505478
130,0.592369,0.839503
131,0.32381,0.600238
132,0.14765,0.583697
133,0.739713,0.673727
134,0.91743,0.27015
135,0.591911,0.418012
136,0.24188,0.0531938
137,0.88138,0.740959
138,0.86221,0.908994
139,0.720727,0.177313
140,0.749023,0.156102
141,0.330342,0.0650044
142,0.653388,0.712149
143,0.785165,0.420301
144,0.681166,0.534165
145,0.839408,0.416608
146,0.165049,0.780145
147,0.268376,0.107791
