Data,U1,U2
0,0.731746,0.598956
1,1.29499,0.883267
2,1.41606,1.59355
3,0.148046,1.23704
4,0.0858974,0.592242
5,0.605128,1.84429
6,0.838095,0.610797
7,1.4047,0.316843
8,1.0025,1.46214
9,0.0385226,1.395
10,1.27497,0.0125736
11,0.0263126,0.34376
12,0.905678,1.50047
13,0.321795,0.473403
14,0.544017,0.544877
15,1.56984,1.40159
16,1.10342,0.49208
17,0.611355,0.616535
18,0.938523,1.92169
19,0.867216,0.372509
20,0.959585,0.717063
21,0.221612,1.20396
22,1.29286,0.34492
23,0.0803419,0.62801
24,0.995238,1.12864
25,1.57619,1.17386
26,1.38187,0.606586
27,1.7533,1.97308
28,0.975763,0.769372
29,0.190965,1.02432
30,1.2141,1.3347
31,1.18046,1.15763
32,0.0500611,0.488479
33,0.511294,1.91211
34,0.781929,0.946562
35,1.40995,0.26606
36,1.00372,1.02182
37,1.40189,1.66155
38,0.831502,0.872219
39,1.18095,1.29887
40,1.68492,0.498245
41,0.113736,0.496658
42,0.214042,1.60894
43,1.12009,0.257271
44,1.67241,1.43388
45,0.537424,0.307627
46,0.383028,0.170537
47,0.501404,1.04575
48,1.24212,0.277108
49,0.54884,0.265328
50,0.596581,0.494583
51,1.88748,0.50148
52,0.697375,1.56761
53,0.270391,0.596271
54,0.390904,1.36766
55,1.95861,0.867275
56,1.12534,1.76983
57,0.0520147,1.32951
58,0.885653,1.4337
59,1.85024,1.01663
60,0.640171,0.845912
61,1.98852,1.8294
62,1.48236,1.84668
63,1.30342,0.746361
64,1.18028,0.629109
65,1.78205,1.92572
66,1.52149,0.130253
67,1.94609,1.44774
68,1.91465,0.0599994
69,0.769658,0.453688
70,1.45879,1.80676
71,0.0130037,1.46892
72,0.3279,0.349071
73,0.919475,0.0173345
74,1.12277,1.35826
75,1.8257,1.48131
76,1.04438,0.127323
77,0.612027,1.78729
78,1.61789,1.08267
79,0.328694,0.162664
80,1.44841,1.64757
81,0.0217949,1.14634
82,0.432967,1.40629
83,0.0167277,1.50896
84,0.172589,0.0992462
85,1.90769,1.99597
86,0.322344,1.21592
87,0.54359,0.0868557
88,1.51154,1.09903
89,0.623199,0.534257
90,1.51538,1.77337
91,0.339255,1.54173
92,1.81899,0.419141
93,1.16917,0.320139
94,1.82216,0.774255
95,0.543529,0.670492
96,0.961905,1.01755
97,1.08523,1.43443
98,0.196886,0.113773
99,0.567155,0.374279
100,0.885226,1.43004
101,1.0083,1.55132
102,0.321306,1.92248
103,1.59554,1.80212
104,0.350611,0.589434
105,0.699939,1.73302
106,1.76673,0.432936
107,1.34463,0.998566
108,1.91734,1.13224
109,0.360562,0.758446
110,1.30311,0.242622
111,0.385897,0.368236
112,0.218498,0.256172
113,0.0407815,0.800928
114,1.91728,0.532182
115,1.34866,0.268258
116,1.60904,0.191473
117,0.963126,0.264718
118,0.0951771,1.80438
119,1.31184,1.04306
